NO_ALUNO,NU_CPF,CO_ALUNO,CO_CICLO_MATRICULA,NO_STATUS_MATRICULA,NO_CICLO_MATRICULA,DT_DATA_INICIO,CO_UNIDADE_ENSINO
AhcMGt SGDPbC corKHf,812.257.482-18,30,2649730,EM_CURSO,TÉCNICO EM TELECOMUNICAÇÕES,02/09/2019,2856
aHfHzl YwoPDj FiExDC,591.034.200-28,31,2608765,EM_CURSO,TÉCNICO EM REFRIGERAÇÃO E CLIMATIZAÇÃO,01/04/2019,2856
AhnRUd MiAqOl EPJHuy,055.170.174-87,32,2580854,EM_CURSO,TÉCNICO EM ELETROTÉCNICA,06/02/2019,2856
AHuGLm cHtQoB pCFGMv,022.632.360-32,33,2671138,EM_CURSO,TÉCNICO EM EDIFICAÇÕES,01/08/2019,2856
aiAoHX PVRfaY HBKRBI,060.389.668-33,34,2628213,EM_CURSO,MATEMÁTICA,07/08/2019,2856
AIovFH GSRUyx EtqsVa,445.778.774-65,35,2641105,EM_CURSO,ENSINO DA MATEMÁTICA NO ENSINO MÉDIO,07/08/2019,2856
aIpqGu tTiidG EidqsS,616.184.359-60,36,2671138,EM_CURSO,TÉCNICO EM EDIFICAÇÕES,01/08/2019,2856
aIUeBK WYuqMm YbQeSg,570.669.306-77,37,2628113,EM_CURSO,GESTÃO PÚBLICA,06/08/2019,2856
aiWeOq gxlkGu xVVsPf,158.281.906-25,38,2638114,EM_CURSO,GESTÃO AMBIENTAL,26/07/2019,2856
aJFzhr zBdBzU zGBPOs,416.810.381-47,39,2608759,EM_CURSO,TÉCNICO EM QUÍMICA,02/04/2019,2856
aJlmUs YVyCbN uzLPpi,206.322.782-69,40,2628213,EM_CURSO,MATEMÁTICA,07/08/2019,2856
AJqXNC FycgCZ yLLagt,200.539.001-44,41,2628203,EM_CURSO,GEOGRAFIA,07/08/2019,2856
AjZNtA IJznMz veKIkG,636.061.218-12,42,2578410,EM_CURSO,TÉCNICO EM SANEAMENTO,06/02/2019,2856
AjzxTg fneckU qYXqeO,845.577.956-98,43,2635631,EM_CURSO,TÉCNICO EM SEGURANÇA DO TRABALHO,26/07/2019,2856
AkbmnC gJSwEx MVtCba,412.696.173-72,44,2671186,EM_CURSO,TÉCNICO EM SANEAMENTO,01/08/2019,2856
akeeJw maPrSa PcFWKF,593.650.246-97,45,2592436,EM_CURSO,TÉCNICO EM SEGURANÇA DO TRABALHO,06/02/2019,2856
aKhHkp UVZsfD jaGiVm,710.446.064-43,46,2580854,EM_CURSO,TÉCNICO EM ELETROTÉCNICA,06/02/2019,2856
AkMdsU ZcGdOk zccbAW,281.869.757-97,47,2636508,EM_CURSO,GESTÃO DE TURISMO,26/07/2019,2856
akSMxh JqGJWv lgDAsS,575.382.492-40,48,2592443,EM_CURSO,GEOGRAFIA,06/02/2019,2856
AKTMhA dvwtfb KvCdED,754.115.660-81,49,2628213,EM_CURSO,MATEMÁTICA,07/08/2019,2856
AkygtV EvOuFM xdKpfh,148.161.052-53,50,2638172,EM_CURSO,RADIOLOGIA,26/07/2019,2856
akZJyX Dopotb ValRIS,358.930.351-75,51,2580867,EM_CURSO,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,06/02/2019,2856
AliBFN PUICDZ xdbjcz,362.863.431-69,52,2628203,EM_CURSO,GEOGRAFIA,07/08/2019,2856
AljVqU ikDrFI Emiwaq,597.147.600-96,53,2578406,EM_CURSO,TÉCNICO EM EDIFICAÇÕES,06/02/2019,2856
aLlOhK OqVoOE fyjMJg,732.755.807-12,54,2649723,EM_CURSO,TÉCNICO EM ELETRÔNICA,02/09/2019,2856
AlPhNP ojAirk dHdRjP,066.002.404-38,55,2649723,EM_CURSO,TÉCNICO EM ELETRÔNICA,02/09/2019,2856
amevJF cXgwfS anSjWP,674.002.486-80,56,2640319,EM_CURSO,TÉCNICO EM QUÍMICA,01/08/2019,2856
aMjtWV MjDSdY mEMAag,794.427.470-94,57,2640323,EM_CURSO,TÉCNICO EM QUÍMICA,01/08/2019,2856
aNOBPD GlEQXB RhMDkK,081.431.696-75,58,2636508,EM_CURSO,GESTÃO DE TURISMO,26/07/2019,2856
AOIAqK YhuDRg ZxRahm,309.622.205-95,59,2671138,EM_CURSO,TÉCNICO EM EDIFICAÇÕES,01/08/2019,2856
aoqRGP ASlZuF bjhyYy,206.694.645-75,60,2649719,EM_CURSO,TÉCNICO EM ELETRÔNICA,02/09/2019,2856
AoQUKA MrlWUn SKXagR,235.401.418-22,61,2638178,EM_CURSO,DESIGN GRÁFICO,26/07/2019,2856
aOsBZU bsnZbE JnxCkR,803.696.659-72,62,2636508,EM_CURSO,GESTÃO DE TURISMO,26/07/2019,2856
aovtdx NeMPXT dwGDuO,247.000.182-12,63,2580867,DESLIGADO,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,06/02/2019,2856
aOySlK VoDRzL VsWdJE,274.731.538-75,64,2628203,EM_CURSO,GEOGRAFIA,07/08/2019,2856
ApmlAC cEtSyG FHqCTV,309.893.522-65,65,2640319,EM_CURSO,TÉCNICO EM QUÍMICA,01/08/2019,2856
APNguZ fzobgP IizIgQ,239.179.843-16,66,2575384,EM_CURSO,GESTÃO DE TURISMO,06/02/2019,2856
aPQOQA PKMlol wKxHAj,704.243.863-32,67,2628113,EM_CURSO,GESTÃO PÚBLICA,06/08/2019,2856
APRkIF vRmlEw noikZD,514.195.713-19,68,2636508,EM_CURSO,GESTÃO DE TURISMO,26/07/2019,2856
apUUti shMEjP TwMMfq,162.763.856-29,69,2592416,ABANDONO,GESTÃO AMBIENTAL,06/02/2019,2856
APUweJ ESZGlJ knKMQW,454.893.091-51,70,2638172,EM_CURSO,RADIOLOGIA,26/07/2019,2856
aqedBl onSpbG reuiQw,279.427.594-08,71,2628213,EM_CURSO,MATEMÁTICA,07/08/2019,2856
AQIhBr NZvueT mjMxNg,948.483.956-32,72,2580858,ABANDONO,TÉCNICO EM TELECOMUNICAÇÕES,06/02/2019,2856
AqloBt sOUnwi xVHfyL,197.426.063-60,73,2592436,EM_CURSO,TÉCNICO EM SEGURANÇA DO TRABALHO,06/02/2019,2856
aQozSy UGxObi zBCddn,080.837.522-74,74,2578399,EM_CURSO,TÉCNICO EM EDIFICAÇÕES,06/02/2019,2856
aRKyQw lPcQts EHFpiU,806.080.762-02,75,2641105,EM_CURSO,ENSINO DA MATEMÁTICA NO ENSINO MÉDIO,07/08/2019,2856
ArNfts cetFfn jSknrw,120.940.374-83,76,2649730,EM_CURSO,TÉCNICO EM TELECOMUNICAÇÕES,02/09/2019,2856
asXNXU FEERuc bmSinN,632.466.137-13,77,2628213,EM_CURSO,MATEMÁTICA,07/08/2019,2856
AsxTOX FgGHoQ FeNcjz,384.660.113-08,78,2628113,EM_CURSO,GESTÃO PÚBLICA,06/08/2019,2856
aszZrj wPbhTi XSOhNU,028.195.401-00,79,2608765,EM_CURSO,TÉCNICO EM REFRIGERAÇÃO E CLIMATIZAÇÃO,01/04/2019,2856
aTJKMn bDtACG ysPkTd,649.310.625-72,80,2649723,EM_CURSO,TÉCNICO EM ELETRÔNICA,02/09/2019,2856
ATqjIG wrwPwJ squNOl,166.440.859-81,81,2671235,EM_CURSO,ESPECIALIZAÇÃO EM PRÁTICAS INTERPRETATIVAS EM MÚSICA POPULAR COM ÊNFASE EM FREVO,30/08/2019,2856
aTWmbj oMejLA wGXfxi,073.266.479-24,82,2649719,EM_CURSO,TÉCNICO EM ELETRÔNICA,02/09/2019,2856
atzfLT vxxEpe uqgttc,641.908.333-36,83,2641105,EM_CURSO,ENSINO DA MATEMÁTICA NO ENSINO MÉDIO,07/08/2019,2856
auhEiR hdBtIg dzjeTb,466.464.564-02,84,2608762,EM_CURSO,TÉCNICO EM MECÂNICA,01/04/2019,2856
AUKgfA URrvTP IMXbRX,340.158.210-46,85,2580854,EM_CURSO,TÉCNICO EM ELETROTÉCNICA,06/02/2019,2856
AumFSd Agtgym gvrCOQ,286.142.026-30,86,2580854,EM_CURSO,TÉCNICO EM ELETROTÉCNICA,06/02/2019,2856
AunqPt PiKrav vbWpLi,205.409.745-03,87,2578410,EM_CURSO,TÉCNICO EM SANEAMENTO,06/02/2019,2856
AuSPgE GjMdSa Qnbomf,735.411.029-41,88,2628113,EM_CURSO,GESTÃO PÚBLICA,06/08/2019,2856
aUwAbZ irRZHX iimowW,953.518.240-18,89,2641105,EM_CURSO,ENSINO DA MATEMÁTICA NO ENSINO MÉDIO,07/08/2019,2856
AvdNZV PuxVEm fbNFdt,924.196.445-35,90,2641105,EM_CURSO,ENSINO DA MATEMÁTICA NO ENSINO MÉDIO,07/08/2019,2856
avnEAe XNJWjK Bkwesk,269.294.505-23,91,2580854,EM_CURSO,TÉCNICO EM ELETROTÉCNICA,06/02/2019,2856
AVvccq xvORug pcuQvA,149.554.372-54,92,2580839,EM_CURSO,TÉCNICO EM ELETRÔNICA,06/02/2019,2856
AvwNCs fVDaWH DineUW,619.468.547-22,93,2636508,EM_CURSO,GESTÃO DE TURISMO,26/07/2019,2856
AWBDSg gxGfLz XOloTF,620.263.886-71,94,2638114,EM_CURSO,GESTÃO AMBIENTAL,26/07/2019,2856
AWEZno UlrIBd JjOpqT,629.868.110-40,95,2592436,EM_CURSO,TÉCNICO EM SEGURANÇA DO TRABALHO,06/02/2019,2856
awJjCK qrMZlr rGeTpm,477.359.332-48,96,2640319,EM_CURSO,TÉCNICO EM QUÍMICA,01/08/2019,2856
aWmCtV ExPGzi moNgWx,207.545.519-80,97,2640323,EM_CURSO,TÉCNICO EM QUÍMICA,01/08/2019,2856
awqgRZ UDWBLR wfkNbk,155.657.042-57,98,2575384,EM_CURSO,GESTÃO DE TURISMO,06/02/2019,2856
aygtCS tfOIBC KFLIDP,879.071.359-47,99,2671186,EM_CURSO,TÉCNICO EM SANEAMENTO,01/08/2019,2856
ayhmgx NCSwep ozzRxQ,868.823.802-65,100,2580857,DESLIGADO,TÉCNICO EM ELETROTÉCNICA,06/02/2019,2856
aYMUEH EFTSfS DijgTR,223.876.771-93,101,2578410,EM_CURSO,TÉCNICO EM SANEAMENTO,06/02/2019,2856
aYWXsF wwkads urRJWy,492.343.539-33,102,2635631,EM_CURSO,TÉCNICO EM SEGURANÇA DO TRABALHO,26/07/2019,2856
aZOOVa DonKpf WOuMzd,894.134.183-21,103,2640315,EM_CURSO,TÉCNICO EM MECÂNICA,01/08/2019,2856
aZOqqk pssnSE UlVrcF,501.949.369-75,104,2592436,EM_CURSO,TÉCNICO EM SEGURANÇA DO TRABALHO,06/02/2019,2856
Azpqww WtTSNQ icznPz,782.649.058-73,105,2671191,EM_CURSO,ENGENHARIA CIVIL,01/08/2019,2856
aZvtWr XSVMJy ULNLfT,117.952.847-84,106,2580295,EM_CURSO,ENGENHARIA CIVIL,06/02/2019,2856
aZvtWr XSVMJy ULNLfT,117.952.847-84,107,2671191,EM_CURSO,ENGENHARIA CIVIL,01/08/2019,2856
BABpdI iJMfSn kgQrHP,724.565.503-92,108,2641105,EM_CURSO,ENSINO DA MATEMÁTICA NO ENSINO MÉDIO,07/08/2019,2856
BAdfVb NHnhbJ rrWxam,823.749.722-89,109,2640323,EM_CURSO,TÉCNICO EM QUÍMICA,01/08/2019,2856
badGKj OewtHy phVnnS,367.230.538-06,110,2578406,EM_CURSO,TÉCNICO EM EDIFICAÇÕES,06/02/2019,2856
BAFJXO bKNiBp mANhDI,822.717.322-79,111,2593332,EM_CURSO,TÉCNICO EM SEGURANÇA DO TRABALHO,06/02/2019,2856
baKKrg zMYQRT zbxnZI,137.889.732-87,112,2580867,EM_CURSO,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,06/02/2019,2856
BAKmVF AWNrRd YrTdEs,901.514.506-25,113,2638172,EM_CURSO,RADIOLOGIA,26/07/2019,2856
batMuP UDtyAg MSLvIa,810.158.539-34,114,2580840,EM_CURSO,TÉCNICO EM ELETRÔNICA,06/02/2019,2856
BBhOcx XrKDDQ rlnWBb,600.370.293-69,115,2673813,EM_CURSO,MESTRADO PROFISSIONAL EM GESTÃO AMBIENTAL,01/03/2019,2856
bBnFqE xhMZEm bOzYsz,122.153.509-11,116,2635631,EM_CURSO,TÉCNICO EM SEGURANÇA DO TRABALHO,26/07/2019,2856
BBSndQ Iqcpuo csgwfl,378.576.193-37,117,2578399,EM_CURSO,TÉCNICO EM EDIFICAÇÕES,06/02/2019,2856
bCbusH bFqXcf sFKWuG,978.463.621-94,118,2578401,EM_CURSO,TÉCNICO EM SANEAMENTO,06/02/2019,2856
bCHLDw KwxZuD CyfONL,753.445.470-03,119,2635631,EM_CURSO,TÉCNICO EM SEGURANÇA DO TRABALHO,26/07/2019,2856
bCitnB LFXCgm rFCRuk,552.931.045-99,120,2671186,EM_CURSO,TÉCNICO EM SANEAMENTO,01/08/2019,2856
bcLOpi dBGbJm QHTiLG,315.792.337-85,121,2628213,EM_CURSO,MATEMÁTICA,07/08/2019,2856
bclquZ TprWQX zTAzly,382.778.877-79,122,2578399,EM_CURSO,TÉCNICO EM EDIFICAÇÕES,06/02/2019,2856
BCPwbH Avkffz gaHnGj,972.812.939-72,123,2592416,EM_CURSO,GESTÃO AMBIENTAL,06/02/2019,2856
bcQgBf BGQOnz bHIpGy,572.587.183-87,124,2608764,EM_CURSO,TÉCNICO EM MECÂNICA,02/04/2019,2856
bcTTOv AoaJUB qRapTl,860.231.223-64,125,2580857,ABANDONO,TÉCNICO EM ELETROTÉCNICA,06/02/2019,2856
BCWwlW Ezkmze zRVZHQ,863.680.306-60,126,2628213,EM_CURSO,MATEMÁTICA,07/08/2019,2856
BdMIdh IHkcNA eOsZEs,335.445.182-27,127,2628203,EM_CURSO,GEOGRAFIA,07/08/2019,2856
bDojct WsTUzn xjafPY,283.668.710-72,128,2671191,EM_CURSO,ENGENHARIA CIVIL,01/08/2019,2856
BDOyOL BYBHny iudbCM,216.978.723-96,129,2608762,EM_CURSO,TÉCNICO EM MECÂNICA,01/04/2019,2856
bdZjUj mLbwtq xtDDsu,432.229.668-15,130,2640318,EM_CURSO,TÉCNICO EM REFRIGERAÇÃO E CLIMATIZAÇÃO,01/08/2019,2856
beEpaC yDUoiT EBvFtX,459.135.742-11,131,2641105,EM_CURSO,ENSINO DA MATEMÁTICA NO ENSINO MÉDIO,07/08/2019,2856
BeUAVy ClOpQS bcLWQh,871.183.156-55,132,2671191,EM_CURSO,ENGENHARIA CIVIL,01/08/2019,2856
BeXTyg YKcWCo LnoWgz,990.653.920-36,133,2628213,EM_CURSO,MATEMÁTICA,07/08/2019,2856
bezTDh EGjmfh JrButH,045.013.128-72,134,2628213,EM_CURSO,MATEMÁTICA,07/08/2019,2856
bFobiz uAFhiC lFElGA,589.664.725-80,135,2578406,EM_CURSO,TÉCNICO EM EDIFICAÇÕES,06/02/2019,2856
bFxylQ fLVAYd pvyyjs,823.552.308-59,136,2671191,EM_CURSO,ENGENHARIA CIVIL,01/08/2019,2856
BfyoMC GKHjso xVrAZJ,020.754.229-56,137,2649729,EM_CURSO,TÉCNICO EM ELETROTÉCNICA,02/09/2019,2856
BGppZP giErCK cuIOsr,103.715.672-24,138,2608762,EM_CURSO,TÉCNICO EM MECÂNICA,01/04/2019,2856
BgRCbs fodPKC ZpLKeQ,145.602.333-26,139,2628203,EM_CURSO,GEOGRAFIA,07/08/2019,2856
BHAoZL haZhWX kZWPlZ,964.932.764-22,140,2580840,DESLIGADO,TÉCNICO EM ELETRÔNICA,06/02/2019,2856
BHByiZ qoLiOC zboRSj,597.532.604-13,141,2608762,EM_CURSO,TÉCNICO EM MECÂNICA,01/04/2019,2856
BhEKcn oeyiMP esFNTv,881.178.508-72,142,2628213,EM_CURSO,MATEMÁTICA,07/08/2019,2856
BhHJEQ UsAVAA oMKpFf,000.143.627-60,143,2628213,EM_CURSO,MATEMÁTICA,07/08/2019,2856
BHpjYn tcwUxS nJvSlh,872.066.543-36,144,2578401,EM_CURSO,TÉCNICO EM SANEAMENTO,06/02/2019,2856
BhqEKL bkyWxh brZOXW,592.278.568-39,145,2592436,EM_CURSO,TÉCNICO EM SEGURANÇA DO TRABALHO,06/02/2019,2856
BHwAgU WXoaki WcTREd,541.873.199-02,146,2628113,EM_CURSO,GESTÃO PÚBLICA,06/08/2019,2856
BhxaPd pwiESb cvpHTG,403.689.835-92,147,2608762,EM_CURSO,TÉCNICO EM MECÂNICA,01/04/2019,2856
biczZT NFCtMn ajbcoi,575.314.374-51,148,2608770,EM_CURSO,ENGENHARIA MECÂNICA,02/04/2019,2856
bIeQEt VgXlep jXhPCz,651.682.971-88,149,2628198,EM_CURSO,TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA,07/08/2019,2856
BiEugz BMptfu cClhcq,126.416.777-32,150,2628203,EM_CURSO,GEOGRAFIA,07/08/2019,2856
BirtKy rZuhMy LMuVJJ,736.009.398-01,151,2635631,EM_CURSO,TÉCNICO EM SEGURANÇA DO TRABALHO,26/07/2019,2856
BixHkM wrNuul znfrYj,860.926.553-70,152,2638114,EM_CURSO,GESTÃO AMBIENTAL,26/07/2019,2856
BjiczW WybgnN GQwoFz,194.727.685-12,153,2671186,EM_CURSO,TÉCNICO EM SANEAMENTO,01/08/2019,2856
BjitIi ydTFsT LuaJwY,767.047.568-65,154,2641105,EM_CURSO,ENSINO DA MATEMÁTICA NO ENSINO MÉDIO,07/08/2019,2856
BJomkb AezUHl zgSHhk,395.316.240-03,155,2659185,EM_CURSO,EDUCAÇÃO AMBIENTAL E CULTURAL,01/10/2019,2856
bKccQw FXwDlq kHUHOM,110.261.861-21,156,2578401,EM_CURSO,TÉCNICO EM SANEAMENTO,06/02/2019,2856
bkvPRq WKVCPl GvLLCL,774.945.802-98,157,2578410,EM_CURSO,TÉCNICO EM SANEAMENTO,06/02/2019,2856
BKwkGv xoOcrB RLvzpc,571.820.342-09,158,2628198,EM_CURSO,TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA,07/08/2019,2856
BLDAhH tmQSFL dgbKPx,944.431.173-87,159,2628203,EM_CURSO,GEOGRAFIA,07/08/2019,2856
bleITI guwVBy aYgVlI,582.401.764-58,160,2575384,EM_CURSO,GESTÃO DE TURISMO,06/02/2019,2856
BLIsTM UcXqNh PMuVQz,898.331.321-44,161,2628213,EM_CURSO,MATEMÁTICA,07/08/2019,2856
bLnzdF eXaaCO swJlVj,088.672.251-60,162,2641105,EM_CURSO,ENSINO DA MATEMÁTICA NO ENSINO MÉDIO,07/08/2019,2856
BmAEXT nOWAVy zXwwmr,547.999.406-77,163,2628203,EM_CURSO,GEOGRAFIA,07/08/2019,2856
BmdfpU FAtUWw iFSHCN,398.116.319-81,164,2578401,EM_CURSO,TÉCNICO EM SANEAMENTO,06/02/2019,2856
bmNaba pMOtkV eIlkHz,194.871.883-51,165,2592416,EM_CURSO,GESTÃO AMBIENTAL,06/02/2019,2856
bMowDM QLPeAT pmwhxm,221.305.157-72,166,2635631,EM_CURSO,TÉCNICO EM SEGURANÇA DO TRABALHO,26/07/2019,2856
Bmvujk Thyekc XSFZON,786.049.992-39,167,2580857,EM_CURSO,TÉCNICO EM ELETROTÉCNICA,06/02/2019,2856
BMzLit swpQLS LTtSSR,181.909.779-05,168,2628213,EM_CURSO,MATEMÁTICA,07/08/2019,2856
BNbMpx EYxCHr oLMEcL,151.799.004-68,169,2608765,EM_CURSO,TÉCNICO EM REFRIGERAÇÃO E CLIMATIZAÇÃO,01/04/2019,2856
bNHjxx EkEUJO VHaTOs,417.909.662-05,170,2592443,EM_CURSO,GEOGRAFIA,06/02/2019,2856
bNjwtx AOLjla ADGvZd,355.481.706-04,171,2592436,EM_CURSO,TÉCNICO EM SEGURANÇA DO TRABALHO,06/02/2019,2856
BnmpWX iNGGDC vhVUmh,963.095.863-06,172,2578401,EM_CURSO,TÉCNICO EM SANEAMENTO,06/02/2019,2856
bnNqjB tEQMIJ aUvDhG,472.343.654-65,173,2580857,ABANDONO,TÉCNICO EM ELETROTÉCNICA,06/02/2019,2856
bNUrkK BtWHQw KqVuqP,550.438.362-07,174,2578410,EM_CURSO,TÉCNICO EM SANEAMENTO,06/02/2019,2856
BNUsNe mJsENh dxjnUs,138.970.897-92,175,2649719,EM_CURSO,TÉCNICO EM ELETRÔNICA,02/09/2019,2856
BnVLIt MuDdqc NKOldM,644.847.571-79,176,2640323,EM_CURSO,TÉCNICO EM QUÍMICA,01/08/2019,2856
bOHlQH ZElwCn ePLVkq,187.226.437-09,177,2580854,EM_CURSO,TÉCNICO EM ELETROTÉCNICA,06/02/2019,2856
BOouey NDHegt FBWUPc,967.597.025-36,178,2628213,EM_CURSO,MATEMÁTICA,07/08/2019,2856
bOuyYy fTNufy PVhZBO,338.827.530-76,179,2628113,EM_CURSO,GESTÃO PÚBLICA,06/08/2019,2856
bOwNsE tjVhKp FrKLJH,229.605.289-92,180,2592443,DESLIGADO,GEOGRAFIA,06/02/2019,2856
BPEoal SXKzcC wRqdkC,785.856.882-33,181,2593332,EM_CURSO,TÉCNICO EM SEGURANÇA DO TRABALHO,06/02/2019,2856
bPkjEh mBjkIU ZxkweK,507.294.791-01,182,2628198,EM_CURSO,TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA,07/08/2019,2856
bPmMfj kWOOjN wysySw,911.533.401-74,183,2578410,EM_CURSO,TÉCNICO EM SANEAMENTO,06/02/2019,2856
bpQVjd imNZhF gKsnEg,271.303.223-10,184,2640323,EM_CURSO,TÉCNICO EM QUÍMICA,01/08/2019,2856
bptiUW BkQGAg ITXaNL,735.859.025-58,185,2628113,EM_CURSO,GESTÃO PÚBLICA,06/08/2019,2856
BptVKw jRsAyY Thmfby,593.845.557-15,186,2638114,EM_CURSO,GESTÃO AMBIENTAL,26/07/2019,2856
bqKzrS GriXmY uDGDTp,723.021.239-59,187,2580854,EM_CURSO,TÉCNICO EM ELETROTÉCNICA,06/02/2019,2856
bQQFLf brzfkB PgFhOP,853.207.652-31,188,2575384,DESLIGADO,GESTÃO DE TURISMO,06/02/2019,2856
bqruwU XCWuvY ZQPqoN,108.137.114-74,189,2636508,EM_CURSO,GESTÃO DE TURISMO,26/07/2019,2856
BqWhLE sdXlQo XIZGQv,790.727.243-02,190,2640319,EM_CURSO,TÉCNICO EM QUÍMICA,01/08/2019,2856
BQXqLO XxxoZx irYsrP,531.211.899-28,191,2635631,EM_CURSO,TÉCNICO EM SEGURANÇA DO TRABALHO,26/07/2019,2856
BqyLwl pmBjdi jgxIdK,533.884.642-21,192,2640323,EM_CURSO,TÉCNICO EM QUÍMICA,01/08/2019,2856
bRfgFj ioPkVT vgRtTL,226.506.414-00,193,2645642,EM_CURSO,TÉCNICO EM SEGURANÇA DO TRABALHO,01/08/2019,2856
BsIOgo YfrBFV hanUcH,007.316.248-39,194,2628213,EM_CURSO,MATEMÁTICA,07/08/2019,2856
BsIOgo YfrBFV hanUcH,007.316.248-39,195,2641105,EM_CURSO,ENSINO DA MATEMÁTICA NO ENSINO MÉDIO,07/08/2019,2856
BsXzqt fzepFe nIwuoB,817.110.357-24,196,2649719,EM_CURSO,TÉCNICO EM ELETRÔNICA,02/09/2019,2856
bTAdeu zcLxDj nLzbsH,129.860.767-64,197,2592416,DESLIGADO,GESTÃO AMBIENTAL,06/02/2019,2856
bTAVBs NvNdPP UsWHqj,024.945.977-66,198,2628203,EM_CURSO,GEOGRAFIA,07/08/2019,2856
btBaeo xpZxRG azYEAP,773.705.966-05,199,2628213,EM_CURSO,MATEMÁTICA,07/08/2019,2856
